branch_id,branch_name,manager_name,city,country
98e4a55b-0491-4001-8db4-fe85bd71bf6c,"A customer favorite for comfort, performance, and long-term value.","A customer favorite for comfort, performance, and long-term value.",Fort Worth,United States
80538899-6a65-4369-98b4-a7b465beabcc,Designed for everyday use with reliable performance and clean design.,Combines premium materials with practical features for daily use.,Los Angeles,Japan
3f365684-51c6-4e12-8720-a710994f68cf,Designed for everyday use with reliable performance and clean design.,"A customer favorite for comfort, performance, and long-term value.",Nashville,Canada
c0cbc6fd-6778-489d-ba14-7f180f946668,"A customer favorite for comfort, performance, and long-term value.","Built for teams that want quality, durability, and fast setup.",Chicago,Japan
05032f26-1265-46d1-983b-681391385738,Combines premium materials with practical features for daily use.,"Built for teams that want quality, durability, and fast setup.",Jacksonville,Australia
27cd2de9-95ee-4b12-91f9-a9986ab65a30,Combines premium materials with practical features for daily use.,"A customer favorite for comfort, performance, and long-term value.",Seattle,Australia
1c0bbd30-d39b-465a-b098-092674570954,"A customer favorite for comfort, performance, and long-term value.","A customer favorite for comfort, performance, and long-term value.",Phoenix,India
3dfc6144-e7c1-416b-94cb-f932b1dff3bd,Designed for everyday use with reliable performance and clean design.,Designed for everyday use with reliable performance and clean design.,Philadelphia,Japan
24e2e673-6fc6-4f20-8e2c-bb73ce7507c1,Combines premium materials with practical features for daily use.,"A customer favorite for comfort, performance, and long-term value.",San Jose,United States
918a824f-9a48-402e-8227-10643664b255,"Built for teams that want quality, durability, and fast setup.","Built for teams that want quality, durability, and fast setup.",Boston,United States
6c9b775f-c7ca-4120-a5b6-449ebb03f35e,"Built for teams that want quality, durability, and fast setup.","A customer favorite for comfort, performance, and long-term value.",Phoenix,India
50c92688-7ec6-4ef2-b761-a8ddd8fbd707,Combines premium materials with practical features for daily use.,Combines premium materials with practical features for daily use.,Columbus,Germany
a4e21621-1a9d-4082-a255-cccaa1929f8e,"A customer favorite for comfort, performance, and long-term value.",Combines premium materials with practical features for daily use.,San Jose,Australia
bf58dc13-4e94-46e8-addc-630dbbbe926d,"A customer favorite for comfort, performance, and long-term value.","A customer favorite for comfort, performance, and long-term value.",Chicago,Brazil
d8b62b04-df50-4556-b5c4-76e27c86369b,"Built for teams that want quality, durability, and fast setup.","Built for teams that want quality, durability, and fast setup.",Charlotte,Australia
49893672-de4f-4d5f-98a2-2876befaa8ef,Combines premium materials with practical features for daily use.,"Built for teams that want quality, durability, and fast setup.",Denver,Canada
a4ced09b-aecf-4b70-a80b-e1be31a6c0d1,"Built for teams that want quality, durability, and fast setup.",Designed for everyday use with reliable performance and clean design.,Jacksonville,Germany
2e4ce822-d28e-422c-a723-7073eb18818f,"A customer favorite for comfort, performance, and long-term value.",Combines premium materials with practical features for daily use.,Houston,Brazil
90289f67-9712-4039-9fd1-ff678935315a,Combines premium materials with practical features for daily use.,Combines premium materials with practical features for daily use.,Houston,Canada
303eb344-8780-4e01-8120-24a6b0d9a4d9,"A customer favorite for comfort, performance, and long-term value.",Combines premium materials with practical features for daily use.,Dallas,Australia
a41cac25-3fd0-44fd-9811-50cf0b53be30,Designed for everyday use with reliable performance and clean design.,"Built for teams that want quality, durability, and fast setup.",Austin,Australia
687efac5-7dca-4835-b97f-e87b1c336825,"Built for teams that want quality, durability, and fast setup.","Built for teams that want quality, durability, and fast setup.",Jacksonville,Brazil
65de01d6-f286-4f63-a54c-bea7297289dd,"Built for teams that want quality, durability, and fast setup.",Combines premium materials with practical features for daily use.,Phoenix,Brazil
202b7441-d09d-472b-a3d4-eb52584209a5,Combines premium materials with practical features for daily use.,"A customer favorite for comfort, performance, and long-term value.",Austin,India
754cac10-27d4-4349-a7b5-7d13ebfe1c7f,"A customer favorite for comfort, performance, and long-term value.","A customer favorite for comfort, performance, and long-term value.",Philadelphia,Germany
272568f0-e1fc-4735-82a4-9e189329f003,"Built for teams that want quality, durability, and fast setup.","Built for teams that want quality, durability, and fast setup.",Columbus,Germany
38e2d4c3-f7d8-47fc-8323-83548de406f3,"A customer favorite for comfort, performance, and long-term value.","Built for teams that want quality, durability, and fast setup.",Seattle,India
927ca7cc-42fd-404d-a0d0-7a1d6658a3c3,"A customer favorite for comfort, performance, and long-term value.","A customer favorite for comfort, performance, and long-term value.",Columbus,Canada
2a692266-bfd4-4fa2-991a-7e4811251790,"Built for teams that want quality, durability, and fast setup.",Combines premium materials with practical features for daily use.,New York,France
c733cb77-4769-4994-90c2-e4d91b9d48e6,"Built for teams that want quality, durability, and fast setup.","Built for teams that want quality, durability, and fast setup.",Portland,Canada
85ab28b6-6405-4c0c-b164-95b97ee4c402,Combines premium materials with practical features for daily use.,Combines premium materials with practical features for daily use.,New York,France
4b0701d0-3dab-413c-87e0-285b02f56d36,"A customer favorite for comfort, performance, and long-term value.",Designed for everyday use with reliable performance and clean design.,Portland,Brazil
0ee79d45-a333-4f06-b5fb-356ad80d50f4,Designed for everyday use with reliable performance and clean design.,"Built for teams that want quality, durability, and fast setup.",New York,Netherlands
0a8b2330-09f2-478c-8be8-a38895fe098d,"A customer favorite for comfort, performance, and long-term value.",Combines premium materials with practical features for daily use.,Austin,United Kingdom
0a909174-de71-40fb-a06c-a5616dcd6422,"A customer favorite for comfort, performance, and long-term value.",Combines premium materials with practical features for daily use.,Chicago,Brazil
490364b4-8a7b-4228-90ab-151ff25d52fe,"A customer favorite for comfort, performance, and long-term value.",Combines premium materials with practical features for daily use.,Los Angeles,United States
11ed5b70-668a-4ca0-a687-b5b0b10e3de4,"A customer favorite for comfort, performance, and long-term value.","Built for teams that want quality, durability, and fast setup.",Columbus,Germany
8f990ea4-0973-47e2-bbcf-4dbb01e26a0c,Combines premium materials with practical features for daily use.,Combines premium materials with practical features for daily use.,Charlotte,United Kingdom
a8ae0ecb-91a1-4990-94b1-37dfe5d0c92d,"Built for teams that want quality, durability, and fast setup.",Combines premium materials with practical features for daily use.,Chicago,United Kingdom
60ea9bf9-4f78-49ed-87f9-4719502a2fd6,"Built for teams that want quality, durability, and fast setup.",Combines premium materials with practical features for daily use.,Portland,United Kingdom
6b7c035d-62c7-48c8-b804-4d1a115760e6,Designed for everyday use with reliable performance and clean design.,Designed for everyday use with reliable performance and clean design.,San Antonio,United States
a1cc04c0-625c-409d-b2d6-43cdd96a185b,"A customer favorite for comfort, performance, and long-term value.","A customer favorite for comfort, performance, and long-term value.",San Antonio,Japan
63626514-d26f-4dd5-b038-c4d692904152,"Built for teams that want quality, durability, and fast setup.",Combines premium materials with practical features for daily use.,Philadelphia,United States
bd239b5e-7ffa-4639-a6e7-cd28ded6157c,"Built for teams that want quality, durability, and fast setup.",Combines premium materials with practical features for daily use.,San Jose,Germany
08e4c7c7-9efe-46ed-8aff-1f9147993d0b,"A customer favorite for comfort, performance, and long-term value.",Designed for everyday use with reliable performance and clean design.,Houston,France
559979bd-202c-44ff-bc07-10c7aa54aa08,"Built for teams that want quality, durability, and fast setup.",Combines premium materials with practical features for daily use.,Dallas,Netherlands
219bc15b-e2f9-4d41-ac2b-d68ff75ad0b6,"Built for teams that want quality, durability, and fast setup.",Designed for everyday use with reliable performance and clean design.,Phoenix,Japan
c0a351e0-3a75-4a8f-b164-ed7ceb6517fb,"Built for teams that want quality, durability, and fast setup.","Built for teams that want quality, durability, and fast setup.",Los Angeles,United Kingdom
9419676e-22d4-40fe-ada7-2bbd9c07b0c4,"Built for teams that want quality, durability, and fast setup.","A customer favorite for comfort, performance, and long-term value.",San Diego,Netherlands
98ca893f-6157-42ba-8108-c7ba72364a33,Designed for everyday use with reliable performance and clean design.,"Built for teams that want quality, durability, and fast setup.",Columbus,France
ac7c363c-d803-4626-8e5f-054e357ba8d1,Combines premium materials with practical features for daily use.,"A customer favorite for comfort, performance, and long-term value.",Seattle,United Kingdom
7d6bbf1c-07e5-4f21-8e8f-e4e37b249fc5,Designed for everyday use with reliable performance and clean design.,Designed for everyday use with reliable performance and clean design.,San Diego,India
f01230e4-8571-42c5-ae7b-a5fc6eb77f24,"Built for teams that want quality, durability, and fast setup.","A customer favorite for comfort, performance, and long-term value.",San Antonio,Netherlands
88270581-beec-408b-b209-cc5beccf42a0,"A customer favorite for comfort, performance, and long-term value.","A customer favorite for comfort, performance, and long-term value.",Seattle,Germany
a36c3869-edad-4a9f-bf86-403fc81a0afe,Designed for everyday use with reliable performance and clean design.,"A customer favorite for comfort, performance, and long-term value.",Columbus,United Kingdom
bb74e50c-ed51-486e-8f7b-6310aaa524c0,"A customer favorite for comfort, performance, and long-term value.","Built for teams that want quality, durability, and fast setup.",Denver,Japan
24fca904-167b-4b07-b0f8-0578e29739ac,"A customer favorite for comfort, performance, and long-term value.","Built for teams that want quality, durability, and fast setup.",Nashville,Netherlands
57bf7f7c-c475-4665-bb3b-b37e2be8a8f3,"A customer favorite for comfort, performance, and long-term value.","Built for teams that want quality, durability, and fast setup.",Denver,Netherlands
cb1aa740-48e7-4b71-b454-59d2a948790f,"Built for teams that want quality, durability, and fast setup.","Built for teams that want quality, durability, and fast setup.",Nashville,Netherlands
7957a82b-cb13-41cf-a5f9-7b39920fd206,Designed for everyday use with reliable performance and clean design.,"A customer favorite for comfort, performance, and long-term value.",Dallas,Japan
d21569a2-7922-40dd-83e8-d75480777a01,Combines premium materials with practical features for daily use.,"Built for teams that want quality, durability, and fast setup.",San Diego,India
b29291ad-8428-4828-8b00-c1bd0e8058c4,"Built for teams that want quality, durability, and fast setup.","Built for teams that want quality, durability, and fast setup.",San Antonio,United Kingdom
4ec3fcf7-2788-408f-8a52-ef8ce28ee5ea,Combines premium materials with practical features for daily use.,"Built for teams that want quality, durability, and fast setup.",Phoenix,France
